seed colour;name;genus;species
Tan;Serrano;Capsicum;annuum
Tan;Jalapeno;Capsicum;annuum
Tan;Poblano;Capsicum;annuum
Tan;Goatsweed;Capsicum;annuum
Tan;Bell pepper;Capsicum;annuum
Tan;Pequin;Capsicum;annuum
Tan;Peru yellow;Capsicum;baccatum
Tan;Aji Amarillo;Capsicum;baccatum
Tan;Dedo de moca;Capsicum;baccatum
Tan;Pimenta cambuci;Capsicum;baccatum
Tan;Aji limon;Capsicum;baccatum
Tan;habanero;Capsicum;chinense
Tan;cheiro;Capsicum;chinense
Tan;Trinidad scorpion;Capsicum;chinense
Tan;Bhut jolokia;Capsicum;chinense
Tan;Tabasco;Capsicum;frutescens
Tan;Malagueta;Capsicum;frutescens
Tan;Malagueta small;Capsicum;frutescens
Black;Rocoto;Capsicum;pubescens
Black;Manzano;Capsicum;pubescens
